Unnamed: 0,text,sentiment,label
2353,"jo bare-bare sins aur ashlil avoid the deadly hai aur jab unhe kisi par krodh aata hai to ve kshma kar dete hain
",negative,0
145,"magar ho sakta hai ki aap morning ke waking up crying hue paye jayen.
",negative,0
2576,"hamne ise haeeve 1 par san phransisko se ls enjeles tak chalaya hai
",neutral,1
1866,"unhen n keval bahut se gairkanooni kar aur mahsool compelled to pay kiya jata perform forced labour bhi karayi jati thi
",negative,0
1799,"sabhi appellants ne apradh svikar nahin kiya aur mudma chalaye jane ki mang ki
",positive,2
1307,"juvenile justice board ne prakat roop se apilarthi ko, १३ ०८ २००३ par uski aayu २० varsh manakar, jo medikal bord dvara tay ek varsh ki sima ke bhitar kami ki taraph thi, labh diya hai
",positive,2
86,"is type ki open files open
",neutral,1
1703,"to 1 times 5 barabar hai 5ke
",neutral,1
1085,"money se aur create more money karne ke lie kiya gaya kary jo interest, dividend, muktta ityadi prapti dvara ho sakta hai.
",positive,2
172,"pichhe ek bari sabhi huee jismen hakim sahab aur pandit hakim ke public hue.
",neutral,1
1292,"ham 4 ko ek row gave hai aur 8 ko ek row gave hain
",neutral,1
10,"jo azasartapa un logon ke lie guidance v mercy hai
",positive,2
589,"federal metropolis washington desh ke eastern bhag men columbia zile men sthit hai middle aur virginia ke madhy.
",neutral,1
1716,"aaj base sarkar ke snsadhan us boond ki tulna men ek mahasagar ke saman hain.
",negative,0
1957,"prsiddh chauri-chaura tatha merath shadyntr kuchh aese mamle hain jinmen nyayalay ne svtntrta ki avdharna banae rakhte hue delivered memorable judgments
",neutral,1
2622,"pumping system water ko open kuen , borvel , jal-dhara , pond , canal aadi se draws hai.
",positive,2
986,"moulded men full aur animal ki poori figure banayi jati hai.
",neutral,1
2172,"jahan par god shnkar parvti ji ko god shri ram ki story suna rahe the vahan kaga  shanker  ka ek ghosla tha aur uske bhitar baitha kaga bhi us story ko sun raha tha.
",positive,2
53,"CMS attach data snlagn nahin kar sakta hai
",neutral,1
682,"ek vakilke rise i manhanival batonko siddh karneki kathinaiyonko aware tha.
",positive,2
2058,"ka upyog karte limit join men automatic pnkti-ganna ko simit updates
",positive,2
661,"us bhir don pulled nahin chale jana hai us toofan me.
",neutral,1
2224,"a ko ek spades ka pnja par move jaen
",neutral,1
1163,"ve revolution ki products thin
",neutral,1
716,"ata yadi leopard vahan sachmuch men gaya hota to bari kahin se tooti milti.
",negative,0
987,"fact, redit pe kisi nen thought,
",neutral,1
1792,"yah file playlist nahin dikhta hai
",neutral,1
1055,"aur ye ki thought that men tha ki aadmi aur jin god a lie jhoothi bat nahin bol sakte
",negative,0
162,"vo standing hain, unke slightly joote ek-doosre se thore door, par zamin par achchhi tarah jame hue
",neutral,1
1268,"is address book ke lie perform this query karne se refused kiya s
",negative,0
1771,"anuchchhed 134 ke adhin uchchatam nyayalay men apil ke lie prmanapatr dene ki jo shakti uchch nyayalay ko prapt hai, usse kahin adhik vyapak uchchatam nyayalay ki ye shaktiyan apil ki grant special leave ke bare men hain
",positive,2
2600,"jo kuchh vah pichhe chhorakar aaya hai , uske bare men ekadam kuchh n sochna uske lie bahut difficult tha.
",negative,0
2108,"s ka s yah rename nahin kar sakaa s
",neutral,1
2410,"chunen ki kaun si service snpadit karni haia  C
",neutral,1
2435,"iske viprit elesdi ka ek hi bar dam lagane se kisi latent mental illness vale vyakti ko manovaigyanik hani pahunchne ki snbhavna ho sakti hai .
",negative,0
2106,"chhokre jab barish ke filled with rain nali ke nikat pahunche, to usi men kood pare aur dhamachaukari machate hue ho-halla karne lage.
",positive,2
2295,"children ko opv 5 years ki age tak diya ja sakta hai
",neutral,1
1948,"aur religion dharm ki spasht se us vyakti se achchha kaun ho sakta hai, jisne apne aapko allah ke aage jhuka diya aur ibrahim ke tarie ka anusaran kare, jo sabse katakar ek ka ho gaya tha allah ne ibrahim ko apna ghanishth mitr banaya tha
",positive,2
1110,"fine rasool apni biviyon se life do ki agar o  release  duniyavi zindgi aur uski finery v zinat ki khvah ho to udhar aao i o logon ko kuchh sazo saman de wives aur unvane shaista se roosat kar wives
",positive,2
639,"yahi adhikadhik skin excessive ka jharav skin par psoriasis ke lesions paida kar deta amount
",neutral,1
2311,"body ke s prishth ३९ par hain  kee sthanon par parking sthan , visheshakar , un karon ke liye rizarv rakhe gaye hain jo apne zones par orange badge ka pragarshan karte hain , aur aap simit samay ke liye un sthanon par bhi rook sakte hain , praya jahan park karne ki anumti nahin hain.
",neutral,1
2585,"issuer  s vishya  s fingerprint  s signature  s
",neutral,1
2248,"kuchh vyaktiyon ke virooddh udisa maintens aanph pablik aanrdar ekt-1948 ke adhin kanooni karrvaee ki gee thi, aur aesa lagta hai ki in bhootpoorv rajaon ke, khas taur par kalahandi ke raja ke, protsahan aur aarthik sahayta se ye log us karar ki kasauti karne ke lie haeekort tak gaye hain, jo aage ki kanooni karrvaee ke mool men hain.
",positive,2
1742,"many se bahuton ke bharat lautne ki likely hai parntu videsh men rahne par ve sabhi is fact ki vajah se vulnerable hain ki unhen apne host country ki citizenship ke privileges nahin milte hain.
",negative,0
711,"is building ke top ek big tomb sushobhit hai.
",positive,2
2511,"attendance ki nominal check advisable hai.
",neutral,1
202,"new channel ke vimochan ki date tay karne ke lie meeting bulaee gee.
",neutral,1
2383,"highest se highest amount jo mooly rup me di jani ho.
",neutral,1
1622,"pahle ke paimbro ne tablie risalat yahan vak ki jab aum ke eeman lane se paimbar mayoos ho ge aur un logon ne samajh liya ki vah jhuthlae ge to unke pas hamari as madad aa pahunchi to jise hamne chaha najat di aur hamara azab gunehgar logon ke sar se to tala nahin jata
",negative,0
1969,"aur agar jhuthlane vale astray men se hai
",negative,0
1816,"raz magicians ne kaha  ae moses  ya to tum hi  apne first  phenko aur ya ye ki pahle jo first phenke vah ham hi hon
",neutral,1
452,"vah friendly, helpful, aakarshak aur mridubhashi tha
",positive,2
237,"yah treatment keval allergic janit asthma ke nishchit cases men hi karagar possible
",negative,0
2589,"pharook hrriyat aur dilli ke gair-sarkari ongoing secret talks chalti batchit se kuchh bechain hain
",negative,0
